"Timestamp,close,high,low,open,volume"	Open	High	Low	Close	Volume
"1433428071,43.2551,43.2551,43.2500,43.2500,200"	146.52	147.14	145.81	146.53	23371872
"1433428081,43.2700,43.2700,43.2500,43.2500,2600"	145.59	147.49	144.27	147.06	45697034
"1433428172,43.2700,43.2800,43.2400,43.2800,5000"	147.54	148.09	146.84	147.51	45352194
"1433428259,43.1600,43.2700,43.1550,43.2700,31200"	145.1	147.2	144.96	146.58	33602943
"1433428264,43.1500,43.1600,43.1200,43.1600,14300"	144.09	144.3	143.27	143.65	20860358
"1433428375,43.1100,43.1500,43.0800,43.1500,10300"	143.92	144.16	143.31	143.79	14246347
"1433428434,43.1300,43.1300,43.1100,43.1100,8300"	144.47	144.6	143.38	143.68	20041241
"1433428499,43.1300,43.1550,43.1200,43.1200,20000"	143.91	144.9	143.87	144.53	18871501
"1433428559,43.1300,43.1400,43.1200,43.1200,21300"	143.5	143.95	143.18	143.64	17134333
"1433428619,43.1200,43.1400,43.0900,43.1300,28100"	142.44	142.68	141.85	142.27	17320928
"1433428676,43.1300,43.1344,43.1000,43.1100,24800"	141.22	142.92	141.16	142.44	23319562
"1433428695,43.1467,43.1500,43.1200,43.1400,52300"	141.88	142	140.45	140.68	17328375
"1433428761,43.1300,43.1401,43.1000,43.1401,19700"	141.41	142.04	141.11	141.2	14697544
"1433428806,43.1250,43.1400,43.1200,43.1300,11000"	141.48	141.88	140.87	141.83	16582094
"1433428892,43.1200,43.1400,43.1200,43.1300,13300"	141.91	142.38	141.05	141.05	17822880
"1433428931,43.1200,43.1360,43.1200,43.1300,11300"	141.6	142.15	141.01	141.8	20350000
"1433428999,43.1400,43.1400,43.1300,43.1300,3500"	142.94	143.35	140.06	141.63	30379376
"1433429098,43.1500,43.1500,43.1300,43.1300,22900"	143.6	143.88	142.9	143.17	18933397
"1433429157,43.1700,43.1700,43.1400,43.1400,24400"	143.73	144.18	143.27	143.34	16672198
"1433429218,43.1500,43.1710,43.1500,43.1700,7800"	144.29	144.52	143.45	143.66	21149034
"1433429276,43.1223,43.1535,43.1200,43.1535,5800"	144.22	145.46	143.81	144.02	27717854
"1433429330,43.1400,43.1400,43.1100,43.1200,8100"	143.25	144.89	143.17	144.77	19891354
"1433429398,43.2000,43.2000,43.1400,43.1400,10400"	143.71	144.12	143.05	143.7	19985714
"1433429457,43.1990,43.2000,43.1800,43.1800,26800"	143.72	144.27	143.01	143.66	19661651
"1433429514,43.1901,43.2000,43.1900,43.2000,45600"	144.19	144.5	143.5	143.93	21207252
"1433429574,43.1926,43.2000,43.1700,43.1900,6900"	143.68	144.49	143.19	144.12	29189955
"1433429623,43.1900,43.1950,43.1900,43.1900,5300"	140.91	144.04	140.62	143.8	33374805
"1433429695,43.1900,43.1900,43.1800,43.1900,3900"	139.39	141.22	138.62	140.88	23575094
"1433429758,43.1750,43.1900,43.1700,43.1900,8600"	141.5	141.74	140.35	140.64	22395563
"1433429818,43.1700,43.1900,43.1600,43.1700,14300"	141.26	141.58	140.61	140.92	20346301
"1433429879,43.1600,43.1650,43.1600,43.1600,2600"	139.84	141.6	139.76	141.42	25860165
"1433429880,43.1700,43.1700,43.1500,43.1600,4300"	142.11	142.8	139.73	139.84	39529912
"1433429941,43.1400,43.1701,43.1400,43.1701,13900"	140.4	141.5	140.23	141.46	21542038
"1433430050,43.1100,43.1400,43.1100,43.1300,16900"	141	141	139.89	139.99	43884952
"1433430114,43.0800,43.1100,43.0800,43.1100,8500"	140.72	141.02	140.26	140.69	19231998
"1433430120,43.1200,43.1200,43.0800,43.0825,9000"	139.41	140.75	139.02	140.46	25691774
"1433430233,43.0900,43.1100,43.0700,43.1100,7300"	139.3	139.65	138.84	138.99	15309065
"1433430275,43.0900,43.1000,43.0800,43.0800,5200"	138.85	139.43	138.82	139.2	17421717
"1433430350,43.0600,43.0800,43.0500,43.0800,38800"	139.25	139.36	138.64	139.14	19612801
"1433430417,43.1000,43.1000,43.0500,43.0599,15800"	138.74	138.79	137.05	138.68	22155904
"1433430422,43.1000,43.1000,43.0900,43.1000,5800"	138.95	139.8	138.82	139	18707236
"1433430539,43.1253,43.1253,43.0900,43.1000,18000"	139.06	139.98	138.79	139.52	17446297
"1433430598,43.1021,43.1200,43.1000,43.1200,9900"	139.36	139.77	138.6	139.34	21750044
"1433430600,43.1000,43.1000,43.0700,43.1000,11000"	138.78	139.83	138.59	139.78	21571121
"1433430718,43.1200,43.1300,43.1000,43.1000,7400"	140	140.28	138.76	138.96	26210984
"1433430779,43.1700,43.1700,43.1200,43.1200,4600"	137.89	140.15	137.6	139.79	36414585
"1433430781,43.1600,43.1650,43.1500,43.1500,10800"	137.08	137.44	136.7	136.99	23482860
"1433430841,43.1900,43.2000,43.1700,43.1700,9900"	137.14	137.44	136.28	136.93	20257426
"1433430947,43.1861,43.1950,43.1800,43.1900,3700"	135.91	136.66	135.28	136.66	21776585
"1433431018,43.2699,43.2800,43.1850,43.1850,50800"	137.38	137.48	136.3	136.53	20788186
"1433431021,43.2900,43.3000,43.2500,43.2620,28900"	136.43	137.12	136.11	137.11	20836932
"1433431137,43.2900,43.3100,43.2725,43.2900,18900"	136.23	136.75	135.98	136.7	24507156
"1433431199,43.2630,43.2800,43.2600,43.2700,20200"	135.1	135.83	135.1	135.72	22198197
"1433431211,43.2600,43.2800,43.2500,43.2700,12600"	135.67	135.9	134.84	135.34	22584555
"1433431270,43.2550,43.2700,43.2400,43.2600,11000"	135.52	136.27	134.62	135.51	35623100
